route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12276F2586037:2023-10-13T00:46:55Z,12276,,77,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000050,OCESN12289F2203976:2023-09-05T00:35:10Z,12289,,78,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000051,OCESN12289F2312822:2023-10-10T00:42:10Z,12289,,79,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000014,OCESN12289F2320386:2023-10-09T00:43:50Z,12289,,80,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000052,OCESN12295F2262583:2023-10-10T00:42:10Z,12295,,81,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000052,OCESN12297F2548045:2023-10-10T00:42:10Z,12297,,82,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000006,OCESN2050F2243940:2023-10-13T00:46:55Z,2050,,83,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000053,OCESN2050F2470133:2023-10-13T00:46:55Z,2050,,84,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2051F2391370:2023-10-13T00:46:55Z,2051,1,85,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000055,OCESN2054F2685205:2023-10-13T00:46:55Z,2054,,86,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2058F2542735:2023-10-13T00:46:55Z,2058,0,87,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000056,OCESN2060F2685478:2023-10-13T00:46:55Z,2060,0,88,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000053,OCESN2060F2689440:2023-10-13T00:46:55Z,2060,0,89,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000006,OCESN2060F2689465:2023-10-13T00:46:55Z,2060,0,90,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2061F1778271:2023-10-13T00:46:55Z,2061,1,91,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000057,OCESN2061F1884175:2023-10-13T00:46:55Z,2061,1,92,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000050,OCESN2061F2610877:2023-10-13T00:46:55Z,2061,1,93,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000058,OCESN2061F2698773:2023-10-13T00:46:55Z,2061,1,94,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2062F1525480:2023-10-13T00:46:55Z,2062,0,95,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000059,OCESN2065F2121457:2023-10-13T00:46:55Z,2065,,96,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000060,OCESN2066F1358855:2023-10-13T00:46:55Z,2066,,97,
