trip_id,duration,start_station,end_station
OCESN6074F2340750:2023-08-29T11:49:37Z,353.0,Nice-Ville,Paris Gare de Lyon Hall 1 - 2
OCESN6091F2274058:2023-10-09T00:43:50Z,101.0,Paris Gare de Lyon Hall 1 - 2,Dijon
OCESN6101F2114042:2023-10-13T00:46:55Z,198.0,Paris Gare de Lyon Hall 1 - 2,Marseille Saint-Charles
OCESN6117F2255923:2023-10-06T00:53:43Z,183.0,Paris Gare de Lyon Hall 1 - 2,Aix-en-Provence TGV
OCESN6124F2580977:2023-10-12T00:48:35Z,272.0,Hyères,Paris Gare de Lyon Hall 1 - 2
OCESN6132F2086642:2023-10-06T00:53:43Z,185.0,Aix-en-Provence TGV,Paris Gare de Lyon Hall 1 - 2
OCESN6150F2603812:2023-10-13T00:46:55Z,236.0,Toulon,Paris Gare de Lyon Hall 1 - 2
OCESN6153F2582594:2023-10-12T00:48:35Z,241.0,Paris Gare de Lyon Hall 1 - 2,Toulon
OCESN6155F2240364:2023-10-13T00:46:55Z,270.0,Paris Gare de Lyon Hall 1 - 2,Hyères
OCESN6191F2283042:2023-10-13T00:46:55Z,222.0,Paris Gare de Lyon Hall 1 - 2,Avignon Centre
OCESN6193F2396410:2023-10-09T00:43:50Z,262.0,Paris Gare de Lyon Hall 1 - 2,Miramas
OCESN6194F1828930:2023-10-13T00:46:55Z,264.0,Miramas,Paris Gare de Lyon Hall 1 - 2
OCESN6196F2264656:2023-10-12T00:48:35Z,222.0,Avignon Centre,Paris Gare de Lyon Hall 1 - 2
OCESN6311F2489791:2023-10-12T00:48:35Z,229.0,Paris Gare de Lyon Hall 1 - 2,Grenoble
OCESN6340F2514991:2023-10-12T00:48:35Z,247.0,Grenoble,Paris Gare de Lyon Hall 1 - 2
OCESN6503F1828798:2023-10-12T00:48:35Z,287.0,Paris Gare de Lyon Hall 1 - 2,Évian-les-Bains
OCESN6504F1663507:2023-10-10T00:42:10Z,276.0,Évian-les-Bains,Paris Gare de Lyon Hall 1 - 2
OCESN6601F1828766:2023-10-11T00:54:01Z,138.0,Paris Gare de Lyon Hall 1 - 2,Lyon Perrache
OCESN6602F1783211:2023-10-13T00:46:55Z,144.0,Lyon Perrache,Paris Gare de Lyon Hall 1 - 2
OCESN6607F1875962:2023-10-13T00:46:55Z,116.0,Paris Gare de Lyon Hall 1 - 2,Lyon Part Dieu
OCESN6616F2044730:2023-08-29T11:49:37Z,116.0,Lyon Part Dieu,Paris Gare de Lyon Hall 1 - 2
OCESN6681F1959731:2023-10-09T00:43:50Z,176.0,Paris Gare de Lyon Hall 1 - 2,Saint-Étienne Châteaucreux
OCESN6690F1967050:2023-10-09T00:43:50Z,171.0,Saint-Étienne Châteaucreux,Paris Gare de Lyon Hall 1 - 2
OCESN6700F2176818:2023-10-12T00:48:35Z,175.0,Mulhouse,Paris Gare de Lyon Hall 1 - 2
OCESN6703F1348736:2023-10-12T00:48:35Z,225.0,Paris Gare de Lyon Hall 1 - 2,Mulhouse
OCESN6741F2532502:2023-10-13T00:46:55Z,147.0,Paris Gare de Lyon Hall 1 - 2,Besançon Viotte
OCESN6760F2206176:2023-10-13T00:46:55Z,154.0,Besançon Viotte,Paris Gare de Lyon Hall 1 - 2
OCESN6801F2171784:2023-10-13T00:46:55Z,278.0,Lyon Part Dieu,Nice-Ville
OCESN6801F2420378:2023-08-29T11:49:37Z,163.0,Lyon Part Dieu,Toulon
OCESN6813F2310077:2023-10-12T00:48:35Z,157.0,Lyon Perrache,Toulon
OCESN6821F1556209:2023-08-29T11:49:37Z,262.0,Lyon Part Dieu,Toulouse Matabiau
OCESN6821F2341635:2023-08-29T11:49:37Z,117.0,Lyon Part Dieu,Montpellier Saint-Roch
OCESN6823F1477363:2023-10-12T00:48:35Z,245.0,Lyon Perrache,Toulouse Matabiau
OCESN6850F1727105:2023-10-13T00:46:55Z,280.0,Nice-Ville,Lyon Part Dieu
OCESN6850F2261007:2023-08-29T11:49:37Z,178.0,Toulon,Lyon Part Dieu
OCESN6850F2695595:2023-10-12T00:48:35Z,283.0,Nice-Ville,Lyon Perrache
OCESN6864F2028313:2023-10-10T00:42:10Z,106.0,Marseille Saint-Charles,Lyon Part Dieu
OCESN6866F2695602:2023-10-12T00:48:35Z,181.0,Toulon,Lyon Perrache
OCESN6871F1990990:2023-10-12T00:48:35Z,247.0,Toulouse Matabiau,Lyon Perrache
OCESN6871F2260183:2023-08-29T11:49:37Z,247.0,Toulouse Matabiau,Lyon Part Dieu
OCESN6873F2369696:2023-08-29T11:49:37Z,111.0,Montpellier Saint-Roch,Lyon Part Dieu
OCESN6931F1803437:2023-10-12T00:48:35Z,222.0,Paris Gare de Lyon Hall 1 - 2,Annecy
OCESN6960F2013699:2023-10-13T00:46:55Z,226.0,Annecy,Paris Gare de Lyon Hall 1 - 2
OCESN7001F1982829:2023-09-12T00:35:02Z,64.0,Paris Gare du Nord,Lille Flandres
OCESN7002F2308911:2023-10-13T00:46:55Z,64.0,Lille Flandres,Paris Gare du Nord
OCESN7014F2277078:2023-09-20T00:32:39Z,61.0,Lille Europe,Paris Gare du Nord
OCESN7087F2548254:2023-10-12T00:48:35Z,65.0,Paris Gare du Nord,Lille Europe
OCESN7104F2401207:2023-10-13T00:46:55Z,114.0,Valenciennes,Paris Gare du Nord
OCESN7155F1959794:2023-10-12T00:48:35Z,104.0,Paris Gare du Nord,Valenciennes
OCESN7200F2423174:2023-10-13T00:46:55Z,108.0,Tourcoing,Paris Gare du Nord
OCESN7208F2610727:2023-10-13T00:46:55Z,126.0,Dunkerque,Paris Gare du Nord
OCESN7251F2038084:2023-10-13T00:46:55Z,122.0,Paris Gare du Nord,Dunkerque
OCESN7297F2423171:2023-10-13T00:46:55Z,108.0,Paris Gare du Nord,Tourcoing
OCESN7434F2688639:2023-10-13T00:46:55Z,150.0,Boulogne sur Mer,Paris Gare du Nord
OCESN7522F2374187:2023-10-13T00:46:55Z,176.0,Rang-du-Fliers - Verton - Berck,Paris Gare du Nord
OCESN7551F2609376:2023-10-13T00:46:55Z,145.0,Paris Gare du Nord,Boulogne sur Mer
OCESN7565F2373038:2023-10-13T00:46:55Z,170.0,Paris Gare du Nord,Rang-du-Fliers - Verton - Berck
OCESN7591F2423097:2023-10-13T00:46:55Z,129.0,Paris Gare du Nord,Calais Ville
OCESN7611F2096666:2023-10-10T00:42:10Z,231.0,Paris Montparnasse Hall 1 - 2,Brest
OCESN7612F1817975:2023-10-10T00:42:10Z,223.0,Brest,Paris Montparnasse Hall 1 - 2
