trip_id,duration,start_station,end_station
OCESN5382F2493689:2023-08-30T00:33:31Z,235.0,lyon part dieu,rennes
OCESN5460F2417295:2023-10-09T00:43:50Z,280.0,rennes,strasbourg
OCESN5470F1306365:2023-10-04T09:03:30Z,286.0,strasbourg,rennes
OCESN5480F2021058:2023-10-02T00:28:07Z,320.0,nantes,strasbourg
OCESN5486F2206999:2023-10-09T00:43:50Z,348.0,strasbourg,nantes
OCESN5512F2173308:2023-10-09T00:43:50Z,223.0,lyon perrache,strasbourg
OCESN5521F2173447:2023-08-29T11:49:37Z,432.0,metz,montpellier saint-roch
OCESN5535F1306077:2023-10-09T00:43:50Z,255.0,strasbourg,lyon perrache
OCESN5537F2257319:2023-10-09T00:43:50Z,494.0,nancy place de la république,toulon
OCESN6024F2348460:2023-10-12T00:48:35Z,198.0,marseille saint-charles,paris gare de lyon hall 1 - 2
OCESN6030F2079245:2023-08-29T11:49:37Z,208.0,montpellier saint-roch,paris gare de lyon hall 1 - 2
OCESN6030F2370506:2023-08-29T11:49:37Z,315.0,perpignan,paris gare de lyon hall 1 - 2
OCESN6033F2226966:2023-10-02T00:28:07Z,316.0,paris gare de lyon hall 1 - 2,perpignan
OCESN6033F2296670:2023-10-09T00:43:50Z,210.0,paris gare de lyon hall 1 - 2,montpellier saint-roch
OCESN6046F2264577:2023-09-24T00:33:07Z,194.0,montpellier sud de france,paris gare de lyon hall 1 - 2
OCESN6047F2017805:2023-10-09T00:43:50Z,192.0,paris gare de lyon hall 1 - 2,montpellier sud de france
OCESN6064F2402441:2023-10-09T00:43:50Z,99.0,montpellier sud de france,lyon part dieu
OCESN6074F2340750:2023-08-29T11:49:37Z,353.0,nice-ville,paris gare de lyon hall 1 - 2
OCESN6091F2274058:2023-10-09T00:43:50Z,101.0,paris gare de lyon hall 1 - 2,dijon
OCESN6101F2114042:2023-10-13T00:46:55Z,198.0,paris gare de lyon hall 1 - 2,marseille saint-charles
OCESN6117F2255923:2023-10-06T00:53:43Z,183.0,paris gare de lyon hall 1 - 2,aix-en-provence tgv
OCESN6124F2580977:2023-10-12T00:48:35Z,272.0,hyères,paris gare de lyon hall 1 - 2
OCESN6132F2086642:2023-10-06T00:53:43Z,185.0,aix-en-provence tgv,paris gare de lyon hall 1 - 2
OCESN6150F2603812:2023-10-13T00:46:55Z,236.0,toulon,paris gare de lyon hall 1 - 2
OCESN6153F2582594:2023-10-12T00:48:35Z,241.0,paris gare de lyon hall 1 - 2,toulon
OCESN6155F2240364:2023-10-13T00:46:55Z,270.0,paris gare de lyon hall 1 - 2,hyères
OCESN6191F2283042:2023-10-13T00:46:55Z,222.0,paris gare de lyon hall 1 - 2,avignon centre
OCESN6193F2396410:2023-10-09T00:43:50Z,262.0,paris gare de lyon hall 1 - 2,miramas
OCESN6194F1828930:2023-10-13T00:46:55Z,264.0,miramas,paris gare de lyon hall 1 - 2
OCESN6196F2264656:2023-10-12T00:48:35Z,222.0,avignon centre,paris gare de lyon hall 1 - 2
OCESN6311F2489791:2023-10-12T00:48:35Z,229.0,paris gare de lyon hall 1 - 2,grenoble
OCESN6340F2514991:2023-10-12T00:48:35Z,247.0,grenoble,paris gare de lyon hall 1 - 2
OCESN6503F1828798:2023-10-12T00:48:35Z,287.0,paris gare de lyon hall 1 - 2,évian-les-bains
OCESN6504F1663507:2023-10-10T00:42:10Z,276.0,évian-les-bains,paris gare de lyon hall 1 - 2
OCESN6601F1828766:2023-10-11T00:54:01Z,138.0,paris gare de lyon hall 1 - 2,lyon perrache
OCESN6602F1783211:2023-10-13T00:46:55Z,144.0,lyon perrache,paris gare de lyon hall 1 - 2
